state,dimension,score
NSW,Access,77.2
NSW,Affordability,71.1
NSW,Digital Ability,73.1
VIC,Access,77.8
VIC,Affordability,72.3
VIC,Digital Ability,73.7
QLD,Access,75.9
QLD,Affordability,69.8
QLD,Digital Ability,70.6
SA,Access,74.8
SA,Affordability,69.2
SA,Digital Ability,70.2
WA,Access,76.6
WA,Affordability,70.8
WA,Digital Ability,72.2
TAS,Access,72.1
TAS,Affordability,66.4
TAS,Digital Ability,68.2
NT,Access,65.8
NT,Affordability,60.1
NT,Digital Ability,61.0
ACT,Access,82.3
ACT,Affordability,77.1
ACT,Digital Ability,79.1
